	1416
4735075	14
9898959	1
9007854	2
7015418	3
3845838	235
3870836	10
1674077	1
2723903	2
3664491	29
393175	51
3532921	3477
4711057	8
4363165	16
9727896	1
9898965	1
6823866	2
6005866	1
4759035	1
3869856	1845
9007848	1
3517301	7058
7666475	204
4818482	4
6005895	1
3458538	273
2542544	1
3556927	52
2135661	1
7294708	5
261427	2
6989118	2
9007831	3
6422104	3
9414714	10
3052658	88
7402782	2
3037015	734
2121021	17
6030864	22
3385124	2442
3747254	35
9898988	5
4510962	1
6005889	30
4363142	1
9007825	2
6030858	70
2121015	17
4377776	2
7294720	2
3483513	3156
3385130	3121
3121454	287
3772200	2768
9898994	6
3747283	285
3845873	28
8666655	1
5989398	1
3869804	898
2601301	2
2121009	37
7725226	3
716796	5
6030841	5
7294737	4
3121460	668
7642486	26
2135632	6
5818248	5
9007802	6
7402753	27
3984	1
6030835	97
3762897	397
6412577	1
3639553	5307
4446046	3
4975365	466
3218946	2537
3869661	358
9727844	63
5137927	2
4485655	156
9933986	4
1938694	4
9982909	62
4676160	9
775132	12
2302308	1
3855009	193
2640904	1
9400296	3
6652235	2
4485649	530
3904512	240
3845689	2696
3894618	9
2601531	1
775126	71
3870664	30
7666297	9
3615564	408
3879004	171
7475781	14
2640910	3
3869684	1719
7740740	1
4485678	456
9630398	8
9933963	1
7989468	1
2591666	1
4652165	1
6666875	2
3664545	152
4676183	1
4446017	5
3640510	2
261433	2
3879010	553
8882206	20
3615570	3528
4666799	80
9982921	5
2639930	1
4725616	21
4519302	2
2640927	1
9933957	3
9982915	3
7740757	2
4485661	59
3870687	802
7294660	129
3336189	167
3615541	628
775103	80
5137962	1
9727809	17
726174	4
3410483	7352
4519319	3
3869626	56
6642886	111
4666782	63
3870612	35
4280551	1
3831084	727
7666268	17
6666852	1
3639501	319
7666251	13
7294677	1
3336195	235
5137956	3
2639953	1
726168	1
3869632	1044
4196690	10
4519325	1
1649091	3
1650071	1
3831090	467
7990419	2
476139	2
7941496	1
3615558	759
7294683	3
3855038	750
726197	1
8882235	2
7666280	17
7725189	3
4534968	1
4231512	2
4926378	344
4519331	5
285416	2
4363194	10
6206429	3
3831061	180
3615529	1
6666830	1
3267904	67573
4627173	2
7725172	5
4231506	2
285422	1
4749605	1
7691214	1
5137979	1
4519348	9
61711	22
6652212	4
4666753	3
8906734	1
61705	7
9737009	1
4485626	31
4652113	1
3434408	1
3170429	4265
9933992	12
3831078	84
7666274	16
3870641	97
403198	50
3723414	2092
9101013	1
9908942	4
95058	7
4519354	4
2640979	4
4627144	3
3880059	24
4652107	5
4328855	2
6666817	1
138201	149
7245609	1
3312177	17
7725195	2
9101027	3
4583903	4
3312160	2484
9776601	1
4519360	2
71098	26
5186920	1
4701604	1
3581871	25
95041	1
3953516	1551
9908959	4
491713	13
8916106	4
3894699	10447
8015171	1
403175	208
7750141	1
1023121	13
3723437	226
491707	12
1312090	1
9776630	59
4519377	1
1277241	21
114206	17
4627121	2
2458826	1
95070	74
4328878	2
4157023	962
6642863	241
2013337	2
4975307	656
403169	37
9776624	70
4519383	7
4328861	2
775190	2
4627138	5
22102	1
4965987	215
95064	1
6666800	1
9908936	6
368326	4
9776618	1
3170487	1784
3640585	2
5172326	1
4642735	33
9776653	4
4157081	171
7499735	1
95093	19
3326771	3
3953568	127
4627109	9
4892455	4
7558633	6
9933940	1
4485690	772
2003959	3
9776647	30
775178	14
7607975	1
9811473	1
4485684	114
3894653	2
3312154	12
4975342	91
9776676	21
7520033	1
775161	4
2410883	10
9908965	2
4172666	52
4642729	2
6137562	3
775155	2
3723408	2
4989976	72
6520396	4
3326788	1
9908971	1
3292925	3169
4328826	1
7941438	1
9933911	1
3312148	561
8916129	24
6030775	34
7162869	1
8916075	29
46048	11
9776699	12
3953485	11
163110	2
6823932	1
22071	4
4892538	8
114198	1
5147280	1
598492	1
7892013	1
6990021	1
3762986	132
138164	33
6544445	3
403100	582
6568316	15
922998	1
9546580	1
6030781	6
163104	409
7681902	2
9776682	35
138170	87
9992291	67
3052500	1
3953479	3116
4892544	3
9414803	6
7916558	22
2121179	1
3723383	1
46031	4
2121162	6
6847921	19
3556821	1241
46025	10
114169	6
657208	2
7377475	1
393206	35
3326759	1
9017373	1
8916052	14
163133	5
114175	24
3302799	949
4843586	1
6990044	1
7426854	5
1865334	21
4892550	58
344389	4
6823903	8
6029772	19
163127	129
7882693	2
4798578	1
5206114	3
633248	134
7172201	8
3302782	1093
7377481	1
138193	13
8005793	2
22065	3
8465980	1
7892007	2
1326761	1
6990050	1
7617376	10
716804	1
344372	1
95012	42
4965912	1045
403152	11
8980601	1
4353853	29
4338210	1
6941057	1
344366	3
3723331	5
9908907	1
3556896	2249
3723348	265
138129	613
95006	6
71052	42
9017344	2
3762957	1
932347	1
7172218	6
22042	21
9630300	6
138135	85
9081885	2
393241	29
6030798	11
320383	4
9017338	2
7617353	7
6520427	1
8916098	2
71069	1
7280089	50
95035	9
1938719	1
3542227	997
3762928	2
2625477	28
320377	2
3723354	95
403123	373
2160759	53
95029	11
71075	65
598457	2
9017321	1
403117	7
138158	9
2160765	26
7617347	3
4892521	1
9081862	1
2160707	40
319374	1
9017315	4
6520404	2
6280408	1
7412266	22
6186460	5
4818565	3
2135744	9
3052575	365
3845732	1705
3821766	177
2625454	2
9007995	1
7666340	2
9992204	2
319380	4
3204370	262
3688557	104
726240	2
9605360	1152
3869715	565
1938725	18
9727790	18
9007989	5
1889375	1
4280485	2
7279063	13
9400209	1
3052581	1
9982890	109
3772364	387
9727784	32
8402413	1
9605390	1
4725585	42
9081891	3
2928924	1
3928530	1
9150095	1
9007972	1
4280456	1
7279057	10
7617382	2
4818571	2
6186454	10
7377400	1
4725579	3
9605383	1199
9727778	65
3218998	5673
319368	8
1938748	16
9007966	20
3869738	1615
9630323	24
3052569	742
3845703	1807
4676102	16
9884443	22
8847902	4
3076512	128
9150089	2
3772341	61
4843563	7
2365898	1
476091	17
163156	5
7328488	5
3556809	346
61645	1
4676119	21
9884450	2
9727761	75
7666305	5
4446000	15
9150072	18
6980666	17
46083	11
6030723	18
6005760	6
9316450	1
726205	1
9727755	21
7681948	2
2135773	1
9007943	2
7279028	5
4676125	24
7039531	59
2121133	1
9150066	3
476079	34
4676131	21
6412672	1
3831109	769
6676112	4
4843540	19
3218969	13081
163179	6
1072131	426
6823955	2
3458432	1
22094	1
2121127	873
7666328	5
8005741	3
9007937	7
7279011	1
3204329	7962
6030700	48
46060	4
6005783	1
4436651	8
9727732	23
7294619	10
6029737	65
6412689	2
3904535	43
9007920	1
7328471	14
3845749	1
9884489	2
7666311	1
46054	18
4843557	27
491699	5
2121110	292
4676148	16
8005758	1
7666185	163
4510815	6
4436361	1
5823841	8
5147848	3
3723934	272
4206017	6
9928270	2
261108	3
9522817	1
7739642	2
3865172	91
4245626	8
275748	1
9953233	2
9992842	1
4510809	1
5823858	6
3458745	1
9688044	1
525323	9
4436355	1
4206023	1
3674437	856
1399381	3
212179	8
2556500	4
4627084	38
3914657	899
9904281	4
775244	8
4461347	7
4818625	1
3890164	99
4475993	76
3674466	2716
9688050	1
7500993	6
809109	4
5133220	8
9953256	1
9992820	1
5196806	1
3723963	1
4652030	1
7666191	162
4627090	16
9640089	2
3963615	943
7245101	149
7475433	9
9688067	2
7739659	2
2723292	1
4666670	1
2458097	1
4818619	4
4206000	13
5108280	2
3914634	101
3420168	111
5172846	3
4642698	3
4666664	27
3601496	242
6387371	28
3674489	251
7573911	36
7318604	2
7402492	6
4377492	1
9992807	38
4725556	1
3723905	29
3674472	1250
3698461	690
9967844	2
4627078	11
4436390	653
6387388	8
9786516	1
3170524	6519
775209	16
7666133	1
3914628	23
261120	2
7573928	5
5172823	43
9928293	1
3723911	1
4818660	5
3458716	87
3336284	491
4642675	9
4627049	2
3517614	57
6652583	1312
3948024	70
5133266	13
9953210	1
7402486	33
7965574	5
4652001	3
4245684	2
6999105	1
7573934	3
1145031	1
4818654	13
3723928	7
6387365	6
2121759	12
4642681	5
3674495	1053
9953227	1
3517620	12
858131	7
6951179	1
873768	2
3409729	29
7882724	3
2713879	1
7882718	1
7989528	1
657154	1
3410721	175
5133289	14
143900	2
7965551	7
4206098	1
3772950	288
4519242	2
9870352	1
7774006	3
4627032	4
3253428	78
7211734	2
6255563	5
7941579	1
3409735	824
6030597	53
7294128	19
6054563	4
95199	2
9869350	1
7882747	3
657177	1
2253567	1
4206075	2
4485394	3
7941591	2
858160	3
1743051	2
4519265	3
7882730	1
4162722	116
7211757	1
4206081	1
9786539	1
8847345	1
3409712	461
4485388	13
7965545	3
657160	4
5133295	18
4172117	153
3747998	33
8123392	1
4519271	6
5196812	1
4568200	2
7367577	3
3409764	6915
8788430	22
8847339	1
9688073	1
