ABIRATERONE	2174974
BISOPROLOL	3922361;3607872;3922390;3620826;4175162;4175156;3531442;3529563;3623902;3609397;3909998;3615096;3529669;3612471;3531413;3531399;3731922;4989887;3531583;3636419;3636336;3612459;2226263;3295504;4918628;3881662;2226234;3645803;3887305;3910091;3630931;3887191;3956957;3623894;4922050;3816937;4930150;3922421;3911831;3612465;3531525;3718821;3571565;3909857;3627461;3922450;3531318;3989336;3712451;4989663;4921978;3623925;3822168;3531488;3623919;3881633;3617391;3529617;3531548;3616842;3989299;3612436;3560805;3615110;3869661;3922332;3922527;3615305;3724224;3615156;3922295;3989230;2226286;3636572;3459006;4930322;3819284;3531465;3922674;3739800;3529540;4918723;3768546;3636514;3636454;3529623;3910180;3922496;3535405;3989141;4930279;3458975;3813407;3605436;4193987;3887251;3612525;3531293;3628035;3738752;3607547;3609776;4918870;3617445;3612531;3529698;3922645;3531502;3529646;3627998;3989112;3869632;4930204;3529592;2225803;3459058;3922616;4175179;3911989;3636626;4921889;3459029;3529681;3459070;3609813;3529706;4175185;4989611;3612494;3922579;3869715;4930090;4153373;3458952;3529741;3559328;3881656;4175191;3529712;4930055;3989201;3869767;3603897;3739898;3535523;3822464;3284506;3531287;3636371;3529729;3560981;3605347;3822369;3722455;3588175;3738781;3869738;3869684
BLEOMYCINE	3013196
BOCEPREVIR	4194679
BOLDO	3516371;3329048;3132908;3362761;3516365;3231183;3351817;3296834;3427437;3410951
BOURDAINE	3516365;3516371;3419053;3289604;3333624;3410939;3090713
BROMAZEPAM	3658332;3488427;3488350;3855446;3674348;3802585;3477228;3524809;5619537;3792036;3488367;3610673;3174284;3477234;3382597
BROMOCRIPTINE	3347365;3202655;3341575;3474282;3341256;3347388;3358280;3347371;3474230
BROMPHENIRAMINE	3180770;3031900;3243306
BUDESONIDE	3414788;3626326;3599730;3565843;4989203;3698490;3672326;3374787;3624066;3865829;3698461;3332754;3672208;3565820;3372713;3585604;3698478;3373569;3585633;3414771;4900999;3672421;3364961;3672378;3334836;3672148;3672266;3569261;4960091;4949971;3334842;3865700;3629388;3629402
BUFLOMEDIL	3465946
BUMETANIDE	3293965;3452139;3285842
BUPRENORPHINE	3715691;3776155;3897077;3295272;3704977;3394399;3887050;3897054;3887386;3820100;3395140;3456611;3776132;3897108;3716271;3887357;3887104;3896043;3887127;3746421;3897120;3819746;3705043;3819769;3820086;3887423;3887015;3887156;3897031;3273081;3394442;3819781;3820123;3887038;3715722
BUPROPION	3575149
BUPROPIONE	3575149
BUSPIRONE	3480259;3766553
BUSULFAN	3692317
CABERGOLINE	3850354;3404287
CAFEDRINE	3085741
CAFEINE	3415635;3002264;3046563;3434874;3434880;3453593;3421481;3289610;3397340;3517301;3182504;3221380;3187559;3187884;3672711;3515495;3066100;3320797;3289142;3046787;3313308;3392093;3617149;3246658;3118340;3368781;3002229;3293534;3289627;3431835;3483097;3105030
CALCITONINE	3406582;3644169;3476430;3476447;3302032;3406576;3681779;3429755;3589128
CALCITRIOL	3264432
